Gene,Group 1 Fold Regulation,Comments,Group 2 Fold Regulation,Comments,Group 3 Fold Regulation,Comments,Group 4 Fold Regulation,Comments
Epor,-7.11,A,-17.82,A,-6.09,A,-5.17,A
Erbb2,-2.62,,-4.23,,-3.44,,-3.27,
Erbb2ip,-3.8,,-5.15,,-5.31,,-4.98,
F11r,-2.96,,-4,,-3.86,,-3.54,
F2,-14.98,A,-15.23,A,-14.3,A,-9.15,A
F3,-3.26,,1.11,,-2.31,,-3,
F8,-1.42,,-3.95,,1.2,,-2.08,
Fasl,-2.36,,-2.62,,-1.8,,-1.55,
Fgf1,-3.65,,-2.61,,-1.39,,-3.11,
Fgf10,-1.63,,-3.73,,-2.27,,-3.7,A
Fgf12,-2.26,,-6.26,,-3.58,,-2.25,
Fgf2,-3.96,,-5.39,,-5.59,,-4.45,
Fgf3,1.75,,1.53,,-1.53,,2.32,
Fgf4,2.25,C,1.68,C,-1.19,C,2.02,C
Fgf5,2.25,C,1.68,C,-1.19,C,2.02,C
Fgf6,-1.91,,-2.58,,-2.65,,2.11,
Fgf7,-2,,-2.62,,-2.61,,-3.48,
Fgf8,2.25,C,1.68,C,-1.19,C,2.02,C
Fgf9,-2.78,,-3.78,,-4.11,,-3.29,
Figf,-3.23,,-4.04,,-2.43,,-3.28,
Flt3l,-4.61,,-7.36,,-4.63,,-4.73,
Fn1,-2.83,,-5.28,,-3.25,,-3.66,
Fos,-3.69,A,-3.45,A,-1.8,,-2.96,A
Fpr1,-2.88,A,-1.17,,-2.54,,-3.36,A
Gdf1,-3.12,A,-4.17,A,-5.96,A,-5.68,A
Gdf2,2.25,C,1.68,C,-1.19,C,2.02,C
Gdf3,2.17,,1.61,,-1.23,,1.95,
Gdf5,-5.6,,-8.34,,-7.66,,-10.73,
Gdf6,1.35,,1.01,,-1.98,,1.21,
Gdf7,-8.62,,-11.57,,-23.04,,-9.59,
Gdf9,-11.65,,-2.93,,-1.43,,-2.16,
Gfra1,-3,A,-11.54,A,-3.11,A,-4.55,A
Gfra2,-3.15,,-5.77,,-5.78,,-3.53,
Ghr,-4.27,,-4.66,,-3.23,,-4.46,
Glmn,-2.89,A,-8.35,A,-3.76,,-5.52,A
Gpi1,-3.98,,-4.28,,-2.71,,-3.49,
Gpr68,1.78,,-7.72,,-4.77,,-3.66,
Grem1,-2.19,A,-6.67,A,-9.24,A,-2.67,A
